Rule ID,CORE-ID,IG Version,ADaM Structure Group,Description,Rule Category,Status Rule,Assigned To,PR Link,Notes
AD0001,,"1.0, 1.1, 1.2, 1.3",ADSL,ADSL dataset does not exist,Dataset Check,,,,
AD0002,,"1.0, 1.1, 1.2, 1.3",ALL:SDTM,A variable is present in ADaM with the same name as a variable present in SDTM but the variables do not have identical labels,Variable VS Var Metadata,,,,
AD0005,,"1.0, 1.1, 1.2, 1.3",ALL,"A variable with a suffix of FL has a value that is not Y, N or null",Record VS Variable,,,,
AD0006,,"1.0, 1.1, 1.2, 1.3",ALL,"A variable with a suffix of FL is present and a variable with the same root and a suffix of FN has a value that is not  0, 1 or null","Variable VS Variable, Record VS Variable",,,,
AD0007,,"1.0, 1.1, 1.2, 1.3",ALL,A variable with a suffix of FN is present but a variable with the same root and a suffix of FL is not present,Variable VS Variable,,,,
AD0010,,"1.0, 1.1, 1.2, 1.3",ALL,A variable with a suffix of FL is equal to Y and a variable with the same root and a suffix of FN is not equal to 1,"Variable VS Variable, Record VS Variable",,,,
AD0011,,"1.0, 1.1, 1.2, 1.3",ALL,A variable with a suffix of FL is equal to N and a variable with the same root and a suffix of FN is not equal to 0,"Variable VS Variable, Record VS Variable",,,,
AD0012,,"1.0, 1.1, 1.2, 1.3",ALL,A variable with a suffix of FL is equal to null and a variable with the same root and a suffix of FN is not equal to null,"Variable VS Variable, Record VS Variable",,,,
AD0013,,"1.0, 1.1, 1.2, 1.3",ALL,The length of a variable name exceeds 8 characters,Variable Check,,,,
AD0014,,"1.0, 1.1, 1.2, 1.3",ALL,A variable name does not start with a letter (A-Z),Variable Check,,,,
AD0015,,"1.0, 1.1, 1.2, 1.3",ALL,"A variable name contains a character other than letters (A-Z), underscores (_), or numerals (0-9)",,,,,
AD0016,,"1.0, 1.1, 1.2, 1.3",ALL,The length of a variable label is greater than 40 characters,,,,,
AD0017,,"1.0, 1.1, 1.2, 1.3",ALL,The length of a character value is greater than 200 characters,,,,,
AD0018,,"1.0, 1.1, 1.2, 1.3",ALL,"Labels for  ADaM variables do not match the standard labels for ADaM variables listed in the implementation guide that cannot be modified (with the exception of (1) variables whose names contain indexes ""w"", “y”, ""xx"", or “zz”; and (2) variable labels with asterisks (*), braces ({...}), and ellipses (...) indicated for sponsor appropriate text); Labels for  ADaM variables do not match the standard labels for ADaM variables listed in the implementation guide that cannot be modified (with the exception of (1) variables whose names contain indexes ""w"", “y”, or “zz”; and (2) variable labels with asterisks (*), braces ({...}), and ellipses (...) indicated for sponsor appropriate text); Labels for  ADaM variables do not match the standard labels for ADaM variables listed in the implementation guide that cannot be modified (with the exception of 1) variables whose names contain indexes “y”, ""xx"", or “zz”; and (2) variable labels with asterisks (*) and ellipses (...) indicated for sponsor appropriate text)",,,,,
AD0019,,"1.0, 1.1, 1.2, 1.3",ADSL,COMPLFL is present and has a value that is not Y or N,,,,,
AD0020,,"1.0, 1.1, 1.2, 1.3",ADSL,FASFL is present and has a value that is not Y or N,,,,,
AD0021,,"1.0, 1.1, 1.2, 1.3",ADSL,ITTFL is present and has a value that is not Y or N,,,,,
AD0022,,"1.0, 1.1, 1.2, 1.3",ADSL,PPROTFL is present and has a value that is not Y or N,,,,,
AD0023,,"1.0, 1.1, 1.2, 1.3",ADSL,SAFFL is present and has a value that is not Y or N,,,,,
AD0024,,"1.0, 1.1, 1.2, 1.3",ADSL,RANDFL is present and has a value that is not Y or N,,,,,
