Rule ID,FDA Business Rule,SDTMIG Version,,,SENDIG Version,,,,,,,Status,CORE-ID,Rule Author (name),Status Rule,Partially Executable?,Overreporting or Underreporting?,Details,,,,
,,3.2,3.3,3.4,3.0,3.1,3.1.1,GeneTox 1.0,DART 1.1,DART 1.2,AR 1.0,,,,,,,,,,,
FB0101,FDAB001,x,x,x,,,,,,,,DRAFT,FDA.SDTMIG.FB0101,,,,,,,,,
FB0301,FDAB003,x,x,x,,,,,,,,OPEN,/,,,,,,,,TOTAL,277
FB0401,FDAB004,x,x,x,,,,,,,,DRAFT,/,,,,,,,,IN PROGRESS,6
FB0402,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,MERGED,5
FB0403,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,PR RAISED,4
FB0404,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,BLOCKED,0
FB0405,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,OPEN,266
FB0406,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB0407,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB0408,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB0409,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB0410,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB0411,FDAB004,x,x,x,,,,,,,,DRAFT,FDA.SDTMIG.FB0411,,,,,,,,,
FB0412,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB0413,FDAB004,x,x,x,,,,,,,,OPEN,/,,,,,,,,,
FB0501,FDAB005,x,x,x,,,,,,,,PUBLISHED,CORE-001043,,,,,,,,,
FB0601,FDAB006,x,x,x,,,,,,,,PUBLISHED,CORE-000008,Adam Niemes,MERGED,,,,,,,
FB0602,FDAB006,x,x,x,,,,,,,,PUBLISHED,CORE-000108,Jozef Aerts,IN PROGRESS,,,,,,,
