Rule ID,SDTMIG Version,,,Status,CORE-ID
CG0001,3.2,3.3,3.4,PUBLISHED,CORE-000929
CG0002,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0002
CG0006,3.2,3.3,3.4,PUBLISHED,CORE-000529
CG0007,3.2,3.3,3.4,PUBLISHED,CORE-000354
CG0008,3.2,3.3,3.4,PUBLISHED,CORE-000028
CG0009,3.2,3.3,3.4,PUBLISHED,CORE-000271
CG0010,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0010
CG0011,3.2,3.3,3.4,DRAFT,
CG0012,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0012
CG0013,3.2,3.3,3.4,DRAFT; PUBLISHED,CDISC.SDTMIG.CG0013-1; CORE-000550
CG0014,3.2,3.3,3.4,PUBLISHED,CORE-000355; CORE-000356
CG0015,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0015
CG0016,3.2,3.3,3.4,PUBLISHED,CORE-000334
CG0017,3.2,3.3,3.4,PUBLISHED,CORE-000510
CG0018,3.2,3.3,3.4,PUBLISHED,CORE-000357
CG0019,3.2,3.3,3.4,DRAFT,"	CDISC.SDTMIG.CG0019"
CG0020,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CORE-000344
CG0021,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CORE-000345
CG0022,3.2,3.3,3.4,PUBLISHED,CORE-000358
CG0024,3.2,3.3,3.4,PUBLISHED,CORE-000571
CG0026,3.2,3.3,3.4,PUBLISHED,CORE-000248
CG0027,3.2,3.3,3.4,PUBLISHED,CORE-000237
CG0028,3.2,3.3,3.4,PUBLISHED,CORE-000544
CG0029,3.2,3.3,3.4,PUBLISHED,CORE-000201
CG0031,3.2,3.3,3.4,PUBLISHED,CORE-000269
CG0032,3.2,3.3,3.4,PUBLISHED,CORE-000249
CG0033,3.2,3.3,3.4,PUBLISHED,CORE-000270
CG0034,3.2,3.3,3.4,PUBLISHED,CORE-000168
CG0035,3.2,3.3,3.4,PUBLISHED,CORE-000361
CG0037,3.2,3.3,3.4,PUBLISHED,CORE-000362
CG0039,3.2,3.3,3.4,PUBLISHED,CORE-000264
CG0040,3.2,3.3,3.4,PUBLISHED,CORE-000012
CG0041,3.2,3.3,3.4,PUBLISHED,CORE-000022
CG0042,3.2,3.3,3.4,PUBLISHED,CORE-000266
CG0043,3.2,3.3,3.4,PUBLISHED,CORE-000597
CG0044,3.2,3.3,3.4,PUBLISHED,CORE-000013
CG0045,3.2,3.3,3.4,PUBLISHED,CORE-000106
CG0046,3.2,3.3,3.4,PUBLISHED,CORE-000265
CG0047,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CORE-000346
CG0049,3.2,3.3,3.4,PUBLISHED,CORE-000268
CG0050,3.2,3.3,3.4,PUBLISHED,CORE-000267
CG0053,3.2,3.3,3.4,PUBLISHED,CORE-000030
CG0056,3.2,3.3,3.4,PUBLISHED,CORE-000081
CG0057,3.2,3.3,3.4,PUBLISHED,CORE-000084
CG0058,3.2,3.3,3.4,PUBLISHED,CORE-000171
CG0059,3.2,3.3,3.4,PUBLISHED,CORE-000085
CG0060,3.2,3.3,3.4,PUBLISHED,CORE-000261
CG0061,3.2,3.3,3.4,PUBLISHED,CORE-000257
CG0062,3.2,3.3,3.4,PUBLISHED,CORE-000258
CG0063,3.2,3.3,3.4,PUBLISHED,CORE-000329
CG0065,3.2,3.3,3.4,PUBLISHED,CORE-000033
CG0066,3.2,,,PUBLISHED,CORE-000322
CG0067,3.2,3.3,3.4,PUBLISHED,CORE-000251
CG0068,3.2,3.3,3.4,PUBLISHED,CORE-000363
CG0069,3.2,3.3,3.4,PUBLISHED,CORE-000034
CG0071,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CORE-000347
CG0073,3.2,,,PUBLISHED,CORE-000364
CG0075,3.2,3.3,3.4,PUBLISHED,CORE-000086
CG0076,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CORE-000348
CG0077,3.2,3.3,3.4,PUBLISHED,CORE-000365
CG0078,3.2,3.3,3.4,PUBLISHED,CORE-000250
CG0079,3.2,3.3,3.4,PUBLISHED,CORE-000236
CG0081,3.2,3.3,3.4,PUBLISHED,CORE-000117
CG0082,3.2,3.3,3.4,PUBLISHED,CORE-000024
CG0083,3.2,3.3,3.4,PUBLISHED,CORE-000184
CG0084,3.2,3.3,3.4,PUBLISHED,CORE-000023
CG0085,3.2,3.3,3.4,PUBLISHED,CORE-000260
CG0086,3.2,3.3,3.4,PUBLISHED,CORE-000018
CG0087,3.2,3.3,3.4,PUBLISHED,CORE-000014
CG0088,3.2,3.3,3.4,PUBLISHED,CORE-000015
CG0089,3.2,3.3,3.4,PUBLISHED,CORE-000016
CG0090,3.2,3.3,3.4,PUBLISHED,CORE-000165
CG0091,,,3.4,PUBLISHED,CORE-000166
CG0092,3.2,3.3,3.4,PUBLISHED,CORE-000167
CG0093,3.2,3.3,3.4,PUBLISHED,CORE-000080
CG0094,3.2,3.3,3.4,PUBLISHED,CORE-000225
CG0095,3.2,3.3,3.4,PUBLISHED,CORE-000079
CG0096,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0096
CG0097,3.2,3.3,3.4,DRAFT,CDISC.SDTMIG.CG0097
CG0098,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CORE-000349
CG0099,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CORE-000350
CG0100,3.2,3.3,3.4,PUBLISHED,CORE-000137
CG0101,3.2,3.3,3.4,PUBLISHED,CORE-000004
CG0102,3.2,3.3,3.4,PUBLISHED,CORE-000005
CG0103,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0103
CG0104,3.2,3.3,3.4,DRAFT - NOT EXECUTABLE,CDISC.SDTMIG.CG0104
CG0105,3.2,3.3,3.4,PUBLISHED,CORE-000291
CG0106,3.2,3.3,3.4,PUBLISHED,CORE-000089
CG0107,3.2,3.3,3.4,PUBLISHED,CORE-000292
CG0108,3.2,3.3,3.4,PUBLISHED,CORE-000091
CG0109,3.2,,,PUBLISHED,CORE-000366
CG0110,3.2,3.3,3.4,PUBLISHED,CORE-000092
CG0111,3.2,3.3,3.4,PUBLISHED,CORE-000092
CG0112,3.2,3.3,3.4,PUBLISHED,CORE-000094
CG0114,3.2,3.3,3.4,PUBLISHED,CORE-000093
CG0115,3.2,3.3,3.4,PUBLISHED,CORE-000096
CG0116,3.2,3.3,3.4,PUBLISHED,CORE-000098
CG0117,3.2,,,PUBLISHED,CORE-000367
CG0118,3.2,,,PUBLISHED,CORE-000367
CG0119,3.2,,,PUBLISHED,CORE-000530
CG0120,3.2,,,PUBLISHED,CORE-000368
CG0121,3.2,,,PUBLISHED,CORE-000368
CG0122,3.2,,,PUBLISHED,CORE-000330
CG0123,3.2,3.3,3.4,PUBLISHED,CORE-000185
CG0124,3.2,,,PUBLISHED,CORE-000331
CG0125,3.2,,,PUBLISHED,CORE-000331
CG0126,3.2,,,PUBLISHED,CORE-000531
CG0127,3.2,,,PUBLISHED,CORE-000543
CG0128,3.2,,,PUBLISHED,CORE-000531
CG0129,3.2,3.3,3.4,PUBLISHED,CORE-000377
CG0131,3.2,3.3,3.4,PUBLISHED,CORE-000006
CG0132,3.2,3.3,3.4,PUBLISHED,CORE-000008
CG0133,3.2,3.3,3.4,PUBLISHED,CORE-000108
CG0134,3.2,3.3,3.4,PUBLISHED,CORE-000254
CG0135,3.2,3.3,3.4,PUBLISHED,CORE-000253
CG0136,3.2,3.3,3.4,PUBLISHED,CORE-000252
CG0138,3.2,,,PUBLISHED,CORE-000533
CG0140,3.2,3.3,3.4,PUBLISHED,CORE-000337
CG0141,3.2,,,PUBLISHED,CORE-000369
CG0142,3.2,,,PUBLISHED,CORE-000378
CG0143,3.2,3.3,3.4,PUBLISHED,CORE-000370
CG0145,3.2,,,PUBLISHED,CORE-000379
CG0146,3.2,,,PUBLISHED,CORE-000380
CG0147,3.2,3.3,3.4,PUBLISHED,CORE-000238
