Rule ID,SDTMIG Version,,,Status,CORE-ID
FB0101,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB0101
FB0301,3.2,3.3,3.4,DRAFT,
FB0401,3.2,3.3,3.4,DRAFT,
FB0402,3.2,3.3,3.4,DRAFT,
FB0403,3.2,3.3,3.4,DRAFT,
FB0404,3.2,3.3,3.4,DRAFT,
FB0405,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB0405
FB0406,3.2,3.3,3.4,DRAFT,
FB0407,3.2,3.3,3.4,DRAFT,
FB0408,3.2,3.3,3.4,DRAFT,
FB0409,3.2,3.3,3.4,DRAFT,
FB0410,3.2,3.3,3.4,DRAFT,
FB0411,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB0411
FB0412,3.2,3.3,3.4,DRAFT,
FB0413,3.2,3.3,3.4,DRAFT,
FB0501,3.2,3.3,3.4,PUBLISHED,CORE-001043
FB0601,3.2,3.3,3.4,PUBLISHED,CORE-000008
FB0602,3.2,3.3,3.4,PUBLISHED,CORE-000108
FB0603,3.2,3.3,3.4,PUBLISHED,CORE-000254
FB0604,3.2,3.3,3.4,PUBLISHED,CORE-000253
FB0605,3.2,3.3,3.4,PUBLISHED,CORE-000252
FB0606,3.2,3.3,3.4,PUBLISHED,CORE-000007
FB0607,3.2,3.3,3.4,PUBLISHED,CORE-000709
FB0608,3.2,3.3,3.4,PUBLISHED,	CORE-000679
FB0609,3.2,3.3,3.4,PUBLISHED,CORE-001078
FB0610,3.2,3.3,3.4,PUBLISHED,CORE-000705
FB0611,3.2,3.3,3.4,PUBLISHED,CORE-000913
FB0612,3.2,3.3,3.4,PUBLISHED,CORE-000841
FB0613,3.2,3.3,3.4,PUBLISHED,CORE-000259
FB0614,3.2,3.3,3.4,PUBLISHED,CORE-000251
FB0801,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB0801
FB0802,3.2,3.3,3.4,DRAFT,FDA.SDTMIG.FB0802
FB0803,,,,DRAFT,FDA.SDTMIG.FB0803
FB0804,,,,DRAFT,
FB0901,3.2,3.3,3.4,PUBLISHED,CORE-000303
FB0902,3.2,3.3,3.4,PUBLISHED,CORE-000318
FB0903,3.2,3.3,3.4,PUBLISHED,CORE-000791
FB0904,3.2,3.3,3.4,PUBLISHED,CORE-000728
